2.1.0	2.1.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
ἐπεραιώθη	περαιόω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [passive]}	to carry to the opposite side, carry over
Πελοπόννησον·	Πελοπόννησος	{Case: [accusative], Gender: [feminine], Number: [singular]}	the Peloponnesus
Ἀθηναῖοι	Ἀθηναῖος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
ἐρήμῃ	ἐρήμη	{Case: [dative], Gender: [feminine], Number: [singular]}	
δίκῃ	δίκη	{Case: [dative], Gender: [feminine], Number: [singular]}	(custom, usage) justice, lawsuit, penalty
θάνατον	θάνατος	{Case: [accusative], Gender: [masculine], Number: [singular]}	death
κατέγνωσαν	καταγιγνώσκω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to remark, discover
αὐτοῦ.	αὐτός	{Case: [genitive], Definiteness: [definite], Gender: [masculine], Number: [singular], PrononimalType: [demonstrative]}	unemph. 3rd pers.pronoun; -self; [the] same 
2.29.3	2.29.3	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Καὶ	καί	{}	and, also
Λακεδαιμονίων	Λακεδαιμόνιος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	Spartan
φιλανθρώπως	φιλανθρώπως	{Degree: [positive]}	
δεδεγμένος	δέρω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to skin, flay
παντοίῳ	παντοῖος	{Case: [dative], Degree: [positive], Gender: [masculine], Number: [singular]}	of all sorts
τρόπῳ	τρόπος	{Case: [dative], Gender: [masculine], Number: [singular]}	a turn, direction, course, way; character
τετιμημένος	τιμάω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to honor; to value something at a price (gen.)
κακῶς	κακῶς	{Degree: [positive]}	
ἔπρασσε	πράσσω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	do, (w. adv) fare, (mid.) charge payment
Ἀθηναίους	Ἀθηναῖος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
μάλιστα	μάλα	{Degree: [superlative]}	very, very much, exceedingly
ἐδύνατο.	δύναμαι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to be able, capable, strong enough
Παρεκελεύσατο	παρακαλεύω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	
Λακεδαιμονίοις,	Λακεδαιμόνιος	{Case: [dative], Degree: [positive], Gender: [masculine], Number: [plural]}	Spartan
λέγων	λέγω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to say, tell, speak; epic and arch.: pick, gather
χρὴ	χρή	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	it is fated, necessary
στρατὸν	στρατός	{Case: [accusative], Gender: [masculine], Number: [singular]}	an encamped army
Σικελίαν	Σικελία	{Case: [accusative], Gender: [feminine], Number: [singular]}	Sicily
ἵνα	ἵνα	{}	in order that (conj.); where (rel. adv.)
Συρακοσίοις	Συρακούσιος	{Case: [dative], Degree: [positive], Gender: [masculine], Number: [plural]}	
ἐπιβοηθοῖ	ἐπιβοηθέω	{Aspect: [perfective], Mood: [subjunctive], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to come to aid, to succour
πέμψαι,	πέμπω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to send, despatch
Ἑλλάδι	Ἑλλάς	{Case: [dative], Gender: [feminine], Number: [singular]}	Hellas
Ἀθηναίους	Ἀθηναῖος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
πόλεμον	πόλεμος	{Case: [accusative], Gender: [masculine], Number: [singular]}	battle, fight, war
προθυμότερον	πρόθυμος	{Case: [accusative], Degree: [comparative], Gender: [neuter], Number: [singular]}	ready, willing, eager, zealous
κινῆσαι,	κινέω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to set in motion, to move
μάλιστα	μάλα	{Degree: [superlative]}	very, very much, exceedingly
τειχίσαι	τειχίζω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to build a wall
Δεκέλειαν	Δεκέλεια	{Case: [accusative], Gender: [feminine], Number: [singular]}	Deceleia
Ἀττικῆς,	Ἀττικός	{Case: [genitive], Degree: [positive], Gender: [feminine], Number: [singular]}	Attic, Athenian
ὅπερ	ὅπος	{Case: [accusative], Gender: [neuter], Number: [singular], PrononimalType: [relative]}	
Ἀθηναῖοι	Ἀθηναῖος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
ἀεὶ	ἀεί	{}	always, for ever
ἐφοβοῦντο·	φοβέω	{Case: [genitive], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to put to flight, to terrify; mid. to fear
βεβαιότατα	βέβαιος	{Case: [nominative], Degree: [superlative], Gender: [neuter], Number: [plural]}	firm, steady, steadfast, sure, certain
αὐτοὺς	αὐτός	{Case: [accusative], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
βλάπτειν.	βλάπτω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to disable, hinder (Hom.); to harm, damage
Οὐκέτι	οὐκέτι	{Polarity: [neg]}	no more, no longer, no further
πατρίδα	πατρίς	{Case: [accusative], Gender: [feminine], Number: [singular]}	fatherland, homeland; of one’s father
ἐφίλει	φιλέω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to love, regard with affection
ἀλλ	ἀλλ	{Aspect: [perfective], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	
μόνον.	μόνος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	alone, left alone, forsaken solitary
τρόπῳ	τρόπος	{Case: [dative], Gender: [masculine], Number: [singular]}	a turn, direction, course, way; character
Ἀθῆναι	Ἀθῆναι	{Case: [nominative], Gender: [feminine], Number: [plural]}	the city of Athens
πολλὰ	πολύς	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [plural]}	much, many
κακὰ	κακός	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [plural]}	bad
Ἀλκιβιάδου	Ἀλκίβιαδος	{Case: [genitive], Gender: [masculine], Number: [singular]}	
ἔπαθον	πάσχω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to experience, to suffer
ὅσον	ὅσος	{Case: [accusative], Gender: [neuter], Number: [singular], PrononimalType: [relative]}	as much/many as
διεφθάρησαν.	διαφθείρω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [passive]}	to destroy, ruin; to corrupt
2.30.0	2.30.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Philoctetes	Philoctetes	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
2.30.1	2.30.1	{Case: [genitive], Gender: [masculine], Number: [singular]}	
μεγάλου	μέγας	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	big, great
Ἑλλήνων	Ἕλλην	{Case: [genitive], Gender: [masculine], Number: [plural]}	Hellen; Greek
Τρῶας	Τρῶας	{Case: [accusative], Gender: [masculine], Number: [plural]}	
πολέμου	πόλεμος	{Case: [genitive], Gender: [masculine], Number: [singular]}	battle, fight, war
καταστάντος,	καθίστημι	{Aspect: [perfective], Case: [genitive], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to set down, place
Φιλοκτήτης	Φιλοκτήτης	{Case: [genitive], Gender: [feminine], Number: [singular]}	Philoctetes
Ποίαντος	Ποίαντος	{Case: [genitive], Gender: [masculine], Number: [singular]}	
ὥρμησεν	ὁρμάω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to set in motion, urge
ἔχων	ἔχω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
ἑπτὰ	ἑπτά	{}	seven
ναῦς,	ναῦς	{Case: [accusative], Gender: [masculine], Number: [plural]}	a ship
φέρων	φέρω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to bear
τόξον	τόξον	{Case: [accusative], Gender: [neuter], Number: [singular]}	a bow
ὀϊστοὺς	ὀϊστός	{Case: [accusative], Gender: [masculine], Number: [plural]}	arrow
Ἡρακλέους.	Ἡρακλέους.	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Περὶ	περί	{}	around, round about with gen., dat., and acc.
θαυμαστῶν	θαυμαστός	{Case: [genitive], Degree: [positive], Gender: [neuter], Number: [plural]}	wondrous, wonderful, marvellous
ὅπλων,	ὅπλων	{Case: [genitive], Gender: [neuter], Number: [plural]}	
ὅπως	ὅπως	{}	how, that, in order that, as
ἐκτήσατο	κτάομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to procure for oneself, to get, gain, acquire
αὐτά,	αὐτός	{Case: [nominative], Gender: [neuter], Number: [plural]}	unemph. 3rd pers.pronoun; -self; [the] same 
τοιάδε	τοιόσδε	{Case: [nominative], Gender: [neuter], Number: [plural]}	such a
λέγεται.	λέγω	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [middle]}	to say, tell, speak; epic and arch.: pick, gather
Ἡρακλῆς	Ἡρακλῆς	{Case: [genitive], Gender: [feminine], Number: [singular]}	Heracles
νῦν	νῦν	{}	now at this very time
θανούμενος	θανέω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [middle]}	
ἐποιήσατο	ποιέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to make, to do
πυρὰν	πυρά	{Case: [accusative], Gender: [feminine], Number: [singular]}	(n.pl.) watch-fires
ἐκάθιζεν	καθίζω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to make to sit down, seat
ἐκέλευσε	κελεύω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to urge
υἱὸν	υἱός	{Case: [accusative], Gender: [masculine], Number: [singular]}	a son
Ὕλλον	Ὕλλος	{Case: [accusative], Gender: [masculine], Number: [singular]}	Hyllus
ἅψαι.	ἅψτω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	
Ἐκεῖνος	Ἐκεῖνος	{Case: [nominative], Gender: [masculine], Number: [singular]}	
ἤθελεν.	ἐθέλω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to will, wish, purpose
Ἐνταῦθα	Ἐνταῦθα	{}	
φοβούμενος	φοβέω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [middle]}	to put to flight, to terrify; mid. to fear
ταχέως	ταχέως	{Degree: [positive]}	
κατακαυθῂ,	κατακαίω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to burn down, burn completely
πολλὴν	πολύς	{Case: [accusative], Degree: [positive], Gender: [feminine], Number: [singular]}	much, many
λύπην	λύπη	{Case: [accusative], Gender: [feminine], Number: [singular]}	pain of body
ἔπασχεν,	πάσχω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to experience, to suffer
Ἠρακλῆς	Ἠρακλῆς	{Case: [genitive], Gender: [feminine], Number: [singular]}	
ᾔτησε	αἰτέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to ask, beg; postulate
Φιλοκτήτου	Φιλοκτῆτης	{Case: [genitive], Gender: [masculine], Number: [singular]}	
πυρὰν	πυρά	{Case: [accusative], Gender: [feminine], Number: [singular]}	(n.pl.) watch-fires
ἅψαι,	ἅπτω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to fasten, bind fast; set on fire; mid. touch
ὑπισχνούμενος	ὑπισχνέομαι	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [middle]}	to promise
δώσειν	δίδωμι	{Tense: [future], VerbForm: [infinitive], Voice: [active]}	to give
αὐτῷ	αὐτός	{Case: [dative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
τόξον	τόξον	{Case: [accusative], Gender: [neuter], Number: [singular]}	a bow
ὀϊστοὺς	ὀϊστός	{Case: [accusative], Gender: [masculine], Number: [plural]}	arrow
Ἀπόλλωνος,	Ἀπόλλων	{Case: [genitive], Gender: [masculine], Number: [singular]}	Apollo
ἢν	ἐάν	{}	if
ποιήσῃ.	ποιέω	{Aspect: [perfective], Mood: [subjunctive], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to make, to do
